"Activity_Code_1","Accept_Date","Business_Name","Start_Date","License_Type","Activity_Code_2","Activity_Code_3","NAICS_Code","Owner_Type","Street_Number","Street_Direction","Street_Name","Street_Suffix","Suite.Apt_No.","City","State","Zip_Code","Phone","N_U_Q","start_to_approved","lon","lat","activity_category","dist_to_closest_stop","closest_stop"
1,2013-12-25,"RICK DELIVERY COMPANY LLC","2013-12-01","PLL",99,NA,484110,"LLC",4918,"E","25TH","ST",NA,"TUCSON","AZ",85711,NA,"N",24,-110.887105,32.203842,"Transportation",3.46895021899504,"HEWA(SE)"
1,2013-09-25,"AUTO RESCUE & TOWING SERVICE","2013-09-20","PLL",99,NA,488410,"SOL",109,"W","SANTA MARIA","ST",NA,"TUCSON","AZ",85706,NA,"N",5,-110.969653,32.137738,"Transportation",0.0641813623528616,"CO6A(NE)"
1,2013-10-23,"MAJESTIC LIMOUSINES, LLC","2013-10-11","PLL",99,NA,485320,"LLC",2631,"E","PRINCE","RD",NA,"TUCSON","AZ",85716,NA,"N",12,-110.93207,32.272546,"Transportation",0.839489878706289,"HEWA(SE)"
1,2012-06-20,"ARACELI'S CAREGIVER SERVICE","2012-06-15","PLL",99,NA,624120,"SOL",6280,"S","CAMPBELL","AV","11103","TUCSON","AZ",85706,NA,"N",5,-110.946932,32.1393739,"Transportation",0.0229340408018113,"2SCH(CR)"
1,2012-01-25,"TOWN CARS LTD","2012-01-19","SVL",99,NA,485320,"SOL",5387,"E","FRANCISCO LOOP",NA,NA,"TUCSON","AZ",857121385,5202993892,"N",6,-110.877899,32.2602537,"Transportation",4.00468122215565,"HEWA(SE)"
1,2014-05-14,"ARIZONA SECRET SERVICE","2014-05-07","SVL",99,98,485320,"SOL",2637,"E","CAMBRIDGE RING DR",NA,NA,"TUCSON","AZ",857063660,NA,"N",7,-110.93307,32.153538,"Transportation",0.782093094604238,"HEWA(SE)"
1,2013-05-08,"OCEAN VIEW SHUTTLES LLC","2013-04-15","PLL",99,NA,485999,"LLC",2717,"E","GLENN","ST",NA,"TUCSON","AZ",85716,NA,"N",23,-110.931533,32.257945,"Transportation",0.871001331288281,"HEWA(SE)"
1,2011-04-20,"C AND A RECOVERY","2011-04-01","PLL",99,NA,561491,"SOL",1101,"W","EBNER","PL",NA,"TUCSON","AZ",85714,NA,"N",19,-110.988356,32.175992,"Transportation",0.179480346487803,"COCN(SE)"
1,2011-03-02,"SOULE MORTUARY TRANSPORTATION SERVICES L","2011-02-14","PLL",99,NA,492210,"LLC",0,NA,"PO BOX 41271",NA,NA,"TUCSON","AZ",857171271,NA,"N",16,-110.9678577,32.2220434,"Transportation",0.0288928785867824,"BR6A(SE)"
1,2013-09-25,"SAFECO TRANSPORTATION","2013-09-19","SVL",99,NA,485999,"SOL",3727,"E","5TH","ST","114","TUCSON","AZ",85716,NA,"N",6,-110.912145,32.2294204,"Transportation",2.00445245689575,"HEWA(SE)"
1,2013-06-05,"M & M DELIVERIES LLC","2013-06-01","PLL",99,NA,484110,"LLC",1444,"W","BREAKWELL","ST",NA,"TUCSON","AZ",85746,5204066751,"N",4,-110.995673,32.161045,"Transportation",0.607490636719749,"COCN(SE)"
1,2011-03-02,"GEORGE'S TRANSPORTATION","2011-03-01","PLL",99,NA,485320,"SOL",2001,"S","IRVING","AVE",NA,"TUCSON","AZ",85711,NA,"N",1,-110.904842,32.198469,"Transportation",2.4321212502408,"HEWA(SE)"
1,2011-05-18,"C&C AUTO RECOVERY","2011-05-16","PLL",99,NA,561491,"SOL",5515,"S","FORGEUS","AV",NA,"TUCSON","AZ",85706,NA,"N",2,-110.9322337,32.1523046,"Transportation",0.831024642775777,"HEWA(SE)"
