"Accept_Date"	"Business_Name"	"Start_Date"	"License_Type"	"Activity_Code_1"	"Activity_Code_2"	"Activity_Code_3"	"NAICS_Code"	"Owner_Type"	"Street_Number"	"Street_Direction"	"Street_Name"	"Street_Suffix"	"Suite.Apt_No."	"City"	"State"	"Zip_Code"	"Phone"	"N_U_Q"	"start_to_approved"	"lon"	"lat"
"2011-01-12"	"HECHO A MANO"	"2011-01-15"	"PLL"	NA	NA	NA	NA	"SOL"	5255	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85706	NA	"N"	-3	-110.967727	32.156305
"2011-01-12"	"IN HOPES OF HEALING"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"PRT"	2810	"N"	"WINSTEL"	"BL"	NA	"TUCSON"	"AZ"	85716	NA	"N"	7	-110.911685	32.25819
"2011-01-12"	"LASER BELLA"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"LLC"	1661	"W"	"PRINCE"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	11	-111.00128	32.271725
"2011-01-12"	"EZ CELLULAR"	"2011-01-05"	"PLL"	17	99	NA	443112	"SOL"	2221	"W"	"NEBRASKA"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	7	-111.014545	32.155416
"2011-01-12"	"UNIVERSAL JANITORIAL SERVICE"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"SOL"	3932	"S"	"LUNDY"	"AV"	NA	"TUCSON"	"AZ"	85714	NA	"N"	7	-110.975078	32.176501
"2011-01-12"	"ONYX I"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	106	"W"	"DRACHMAN"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	-20	-110.9736558	32.2396432
"2011-01-12"	"ELECTRUM PARTNERS LLC"	"2010-09-23"	"PLL"	13	99	NA	531120	"LLC"	1815	"E"	"WINSETT"	"ST"	NA	"TUCSON"	"AZ"	85719	NA	"N"	111	-110.9448268	32.2147226
"2011-01-12"	"HEALING SPIRIT MEDICINE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"SOL"	2531	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	9	-110.93427	32.207226
"2011-01-12"	"CRYSTAL RAE ASHFORD-OLIVER"	"2011-01-06"	"SVL"	99	98	NA	999999	"SOL"	8488	"E"	"VIA CORTINA DE MADER"	NA	NA	"TUCSON"	"AZ"	85747	NA	"N"	6	-110.81168	32.11681
"2011-01-12"	"INSTITUTE OF MOSAIC ART LLC"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"LLC"	220	"E"	"6TH"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	-5	-110.9681426	32.2277065
"2011-01-12"	"AEROHAWK LLC"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"LLC"	10635	"E"	"CHANNELSIDE"	"DR"	NA	"TUCSON"	"AZ"	85748	5205469506	"N"	2	-110.765464	32.225096
"2011-01-12"	"RECYCLELINK"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	1032	"E"	"ALTA VISTA"	NA	NA	"TUCSON"	"AZ"	85719	9164028952	"N"	-5	-110.955662	32.256391
"2011-01-12"	"FRANK JOHNSON AUTOMOTIVE REFINISHING"	"2011-01-01"	"PLL"	17	99	NA	441310	"CRP"	1028	"S"	"CURTIS"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	11	-110.950695	32.208812
"2011-01-12"	"PIMA COUNTY COMMERCIAL CONSTRUCTION"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2911	"S"	"HOUGHTON"	"RD"	NA	"TUCSON"	"AZ"	857303116	NA	"N"	-20	-110.769495	32.187769
"2011-01-12"	"TAYLOR SUSAN LEE & MICHAEL JEFFREY"	"2009-12-01"	"PLL"	13	99	NA	531120	"PRT"	5601	"E"	"10TH"	"ST"	NA	"TUCSON"	"AZ"	85711	NA	"N"	407	-110.872904	32.222899
"2011-01-12"	"ZEN BEAUTY SPA"	"2011-01-10"	"PLL"	17	99	NA	812112	"SOL"	4262	"N"	"1ST"	"AV"	"130"	"TUCSON"	"AZ"	85719	NA	"N"	2	-110.961071	32.2841467
"2011-01-12"	"SOCIAL SCIENCE JUNK SHOP"	"2011-01-01"	"PLL"	17	99	NA	442110	"LLC"	43	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	11	-110.9683845	32.2214153
