"Accept_Date"	"Business_Name"	"Start_Date"	"License_Type"	"Activity_Code_1"	"Activity_Code_2"	"Activity_Code_3"	"NAICS_Code"	"Owner_Type"	"Street_Number"	"Street_Direction"	"Street_Name"	"Street_Suffix"	"Suite.Apt_No."	"City"	"State"	"Zip_Code"	"Phone"	"N_U_Q"	"start_to_approved"	"lon"	"lat"
"1"	"2011-01-12"	"COINSTAR, INC"	"2010-09-02"	"SVL"	99	NA	NA	522320	"CRP"	1800	"SE"	"114TH"	"AVE"	NA	"BELLEVUE"	"WA"	"98004"	4259438000	"N"	132	-122.189776	47.5960342
"2"	"2011-01-12"	"PROOH BEAR ORIGINALS"	"2011-01-05"	"PLL"	17	99	NA	481111	"SOL"	7496	"W"	"MYSTIC SKY"	"LN"	NA	"TUCSON"	"AZ"	"85743"	NA	"N"	7	-111.129724	32.384915
"3"	"2011-01-12"	"HECHO A MANO"	"2011-01-15"	"PLL"	NA	NA	NA	NA	"SOL"	5255	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	"85706"	NA	"N"	-3	-110.967727	32.156305
"4"	"2011-01-12"	"IN HOPES OF HEALING"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"PRT"	2810	"N"	"WINSTEL"	"BL"	NA	"TUCSON"	"AZ"	"85716"	NA	"N"	7	-110.911685	32.25819
"5"	"2011-01-12"	"LASER BELLA"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"LLC"	1661	"W"	"PRINCE"	"RD"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	11	-111.00128	32.271725
"6"	"2011-01-12"	"EZ CELLULAR"	"2011-01-05"	"PLL"	17	99	NA	443112	"SOL"	2221	"W"	"NEBRASKA"	"ST"	NA	"TUCSON"	"AZ"	"85713"	NA	"N"	7	-111.014545	32.155416
"7"	"2011-01-12"	"UNIVERSAL JANITORIAL SERVICE"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"SOL"	3932	"S"	"LUNDY"	"AV"	NA	"TUCSON"	"AZ"	"85714"	NA	"N"	7	-110.975078	32.176501
"8"	"2011-01-12"	"ONYX I"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	106	"W"	"DRACHMAN"	"ST"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	-20	-110.9736558	32.2396432
"9"	"2011-01-12"	"WOMEN'S EMPOWERMENT PARTNERSHIP, INC"	"2006-01-01"	"PLL"	15	NA	NA	236220	"CRP"	7300	"E"	"SCOUT"	"AV"	"E"	"BELL GARDENS"	"CA"	"90201"	5629271205	"N"	1837	-118.1406	33.963533
"10"	"2011-01-12"	"ASAP RENOVATION"	"2011-03-01"	"PLL"	NA	NA	NA	NA	"SOL"	11076	"W"	"COPPERTAIL"	"DR"	NA	"MARANA"	"AZ"	"85653"	NA	"N"	-48	-111.201375	32.4293819
"11"	"2011-01-12"	"RC INTERIOR DESIGN GROUP, INC."	"2010-12-14"	"PLL"	17	99	NA	442299	"CRP"	3527	"N"	"24TH"	"ST"	NA	"PHOENIX"	"AZ"	"85016"	6026675632	"N"	29	-112.029918	33.489787
"12"	"2011-01-12"	"ELECTRUM PARTNERS LLC"	"2010-09-23"	"PLL"	13	99	NA	531120	"LLC"	1815	"E"	"WINSETT"	"ST"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	111	-110.9448268	32.2147226
"13"	"2011-01-12"	"MICHE BAG VAIL, AZ"	"2011-01-03"	"PLL"	17	99	NA	448150	"SOL"	381	"N"	"SHARON"	"RD"	NA	"VAIL"	"AZ"	"85641"	5207628957	"N"	9	-110.697449	31.969969
"14"	"2011-01-12"	"FAMILY HOME CARE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"CRP"	1616	"E"	"MAIN"	"ST"	"STE 220"	"MESA"	"AZ"	"85203"	4806440084	"N"	9	-111.7959868	33.4157151
"15"	"2011-01-12"	"TUCSON MEDITATION GROUP"	"2011-01-01"	"PLL"	17	99	NA	451211	"SOL"	13262	"N"	"HAMMERSTONE"	"LN"	NA	"ORO VALLEY"	"AZ"	"85755"	5208186576	"N"	11	-110.938208	32.446662
"16"	"2011-01-12"	"HEALING SPIRIT MEDICINE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"SOL"	2531	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	"85713"	NA	"N"	9	-110.93427	32.207226
"17"	"2011-01-12"	"RUSHMORE REMODELING COMPANY"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	6701	"N"	"SESAME"	"LN"	NA	"TUCSON"	"AZ"	"857041248"	NA	"N"	-5	-111.004844	32.328218
"18"	"2011-01-12"	"REACTIVATE LLC"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	0	NA	"PO BOX 85428"	NA	NA	"TUCSON"	"AZ"	"85728"	5205913919	"N"	-20	-110.9384972	32.0757381
"19"	"2011-01-12"	"THE MOBILE SOLUTION"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"SOL"	4741	"W"	"CAMINO ELARIO"	NA	NA	"TUCSON"	"AZ"	"857579316"	NA	"N"	11	-111.066462	32.122873
"20"	"2011-01-12"	"NAKWON CONSTRUCTION"	"2011-01-06"	"PLL"	15	99	NA	236220	"CRP"	7934	"E"	"6TH"	"AV"	NA	"MESA"	"AZ"	"85208"	NA	"N"	6	-111.659167	33.409249
"21"	"2011-01-12"	"DANIEL F KELLEHER AUCTION LLC"	"2011-01-14"	"PLL"	NA	NA	NA	NA	"LLL"	4	NA	"FINANCE"	"DR"	"200"	"DANBURY"	"CT"	"06810"	2032976056	"N"	-2	-73.4214966	41.4104477
"22"	"2011-01-12"	"CRYSTAL RAE ASHFORD-OLIVER"	"2011-01-06"	"SVL"	99	98	NA	999999	"SOL"	8488	"E"	"VIA CORTINA DE MADER"	NA	NA	"TUCSON"	"AZ"	"85747"	NA	"N"	6	-110.81168	32.11681
"23"	"2011-01-12"	"INSTITUTE OF MOSAIC ART LLC"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"LLC"	220	"E"	"6TH"	"ST"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	-5	-110.9681426	32.2277065
